X,Y,Z,Cost
198,58,243,42920
198,58,244,41828
198,58,245,41092
198,58,246,41140
198,58,247,41498
198,58,248,41786
198,58,249,41920
198,58,250,42042
198,58,251,42100
198,58,252,42124
198,58,253,42780
198,59,242,43088
198,59,243,41710
198,59,244,40808
198,59,245,41236
198,59,246,41634
198,59,247,42010
198,59,248,42316
198,59,249,42466
198,59,250,42604
198,59,251,42678
198,59,252,42718
198,59,253,42648
198,59,254,42936
198,60,242,42174
198,60,243,41136
198,60,244,41428
198,60,245,41864
198,60,246,42272
198,60,247,42664
198,60,248,42986
198,60,249,43154
198,60,250,43310
198,60,251,43402
198,60,252,43462
198,60,253,43408
198,60,254,43378
198,61,241,43274
198,61,242,41888
198,61,243,41994
198,61,244,42306
198,61,245,42758
198,61,246,43178
198,62,241,43042
198,62,242,42844
198,62,243,43000
198,62,244,43348
199,56,246,43090
199,56,247,42752
199,56,248,42628
199,56,249,42676
199,56,250,42940
199,56,251,43392
199,57,244,42830
199,57,245,42052
199,57,246,41592
199,57,247,41906
199,57,248,42152
199,57,249,42230
199,57,250,42280
199,57,251,42234
199,57,252,42670
199,57,253,43442
199,58,243,42506
199,58,244,41392
199,58,245,41624
199,58,246,41992
199,58,247,42328
199,58,248,42594
199,58,249,42690
199,58,250,42758
199,58,251,42728
199,58,252,42654
199,58,253,42472
199,58,254,43346
199,59,242,42698
199,59,243,41400
199,59,244,41672
199,59,245,42086
199,59,246,42466
199,59,247,42820
199,59,248,43106
199,59,249,43220
199,59,250,43306
199,59,251,43292
199,59,252,43236
199,59,253,43074
199,59,254,42934
199,60,241,43444
199,60,242,41956
199,60,243,42002
199,60,244,42276
199,60,245,42698
199,60,246,43088
199,60,247,43458
199,61,241,42898
199,61,242,42762
199,61,243,42840
199,61,244,43134
200,56,245,43462
200,56,246,42896
200,56,247,42552
200,56,248,42562
200,56,249,42600
200,56,250,42736
200,56,251,43186
200,57,244,42638
200,57,245,42064
200,57,246,42408
200,57,247,42706
200,57,248,42940
200,57,249,43000
200,57,250,43018
200,57,251,42920
200,57,252,42754
200,57,253,43232
200,58,243,42312
200,58,244,42028
200,58,245,42414
200,58,246,42772
200,58,247,43092
200,58,248,43348
200,58,249,43428
200,58,250,43466
200,58,251,43386
200,58,252,43240
200,58,253,42970
200,58,254,43132
200,59,242,42522
200,59,243,42198
200,59,244,42452
200,59,245,42846
200,59,246,43216
200,59,254,43330
200,59,255,43482
200,60,241,43286
200,60,242,42740
200,60,243,42760
200,60,244,43016
200,60,245,43418
201,56,245,43432
201,56,246,42858
201,56,247,43084
201,56,248,43290
201,56,249,43328
201,56,250,43314
201,56,251,43174
201,57,244,42610
201,57,245,42776
201,57,246,43108
201,57,247,43400
201,57,252,43366
201,57,253,43180
201,58,243,42496
201,58,244,42724
201,58,245,43084
201,58,246,43430
201,58,253,43490
201,58,254,43180
201,59,242,42884
201,59,243,42876
201,59,244,43108
201,59,245,43476
201,59,255,43410
201,60,242,43394
201,60,243,43388
201,154,160,43370
202,56,246,43494
202,57,244,43110
202,57,245,43422
202,58,243,43180
202,58,244,43368
202,152,159,43442
202,153,159,43198
202,153,160,43274
202,154,160,43346
202,154,161,43434
203,152,159,43412
203,153,159,43208
203,153,160,43296
206,57,245,43206
206,57,246,43298
206,58,244,43100
206,58,245,43220
206,58,246,43394
206,58,253,43254
206,59,243,43278
206,59,244,43288
206,59,245,43416
206,59,254,43370
207,57,246,42976
207,57,247,42624
207,57,248,42844
207,57,249,42960
207,57,250,43030
207,57,251,43404
207,58,244,42984
207,58,245,42336
207,58,246,42490
207,58,247,42698
207,58,248,42940
207,58,249,43078
207,58,250,43174
207,58,251,43108
207,58,252,42870
207,59,243,42910
207,59,244,42394
207,59,245,42490
207,59,246,42656
207,59,247,42882
207,59,248,43144
207,59,249,43302
207,59,250,43422
207,59,251,43382
207,59,252,43170
207,59,253,42730
207,60,242,43396
207,60,243,42654
207,60,244,42634
207,60,245,42738
207,60,246,42914
207,60,247,43156
207,60,248,43436
207,60,253,43144
207,60,254,43130
207,61,242,43294
207,61,243,43106
207,61,244,43106
207,61,245,43226
207,61,246,43414
207,61,254,43358
208,57,246,43430
208,57,247,43052
208,57,248,42942
208,57,249,43052
208,57,250,43394
208,58,244,43432
208,58,245,42544
208,58,246,41954
208,58,247,41612
208,58,248,41760
208,58,249,41914
208,58,250,42076
208,58,251,42648
208,58,252,43366
208,59,243,43342
208,59,244,42130
208,59,245,41302
208,59,246,41448
208,59,247,41658
208,59,248,41922
208,59,249,42096
208,59,250,42250
208,59,251,42242
208,59,252,42352
208,59,253,43246
208,60,243,42296
208,60,244,41436
208,60,245,41510
208,60,246,41666
208,60,247,41892
208,60,248,42174
208,60,249,42370
208,60,250,42548
208,60,251,42566
208,60,252,42398
208,60,253,42532
208,61,242,43166
208,61,243,41888
208,61,244,41862
208,61,245,41952
208,61,246,42120
208,61,247,42362
208,61,248,42670
208,61,249,42890
208,61,250,43092
208,61,251,43136
208,61,252,42994
208,61,253,42612
208,61,254,43420
208,62,242,42870
208,62,243,42444
208,62,244,42454
208,62,245,42578
208,62,246,42774
208,62,247,43036
208,62,248,43370
208,62,253,43422
208,63,242,43266
208,63,243,43168
208,63,244,43228
208,63,245,43388
209,58,245,43124
209,58,246,42534
209,58,247,42206
209,58,248,42150
209,58,249,42326
209,58,250,42738
209,58,251,43332
209,59,244,42698
209,59,245,41840
209,59,246,41278
209,59,247,40982
209,59,248,40960
209,59,249,41172
209,59,250,41624
209,59,251,42262
209,59,252,43048
209,60,243,42844
209,60,244,41664
209,60,245,40830
209,60,246,40492
209,60,247,40718
209,60,248,41008
209,60,249,41224
209,60,250,41424
209,60,251,41462
209,60,252,42280
209,60,253,43236
209,61,243,42240
209,61,244,41090
209,61,245,40752
209,61,246,40900
209,61,247,41142
209,61,248,41458
209,61,249,41698
209,61,250,41922
209,61,251,41986
209,61,252,41960
209,61,253,42962
209,62,242,43404
209,62,243,41992
209,62,244,41226
209,62,245,41332
209,62,246,41508
209,62,247,41770
209,62,248,42112
209,62,249,42372
209,62,250,42618
209,62,251,42702
209,62,252,42600
209,62,253,43042
209,63,242,43388
209,63,243,42046
209,63,244,41956
209,63,245,42098
209,63,246,42312
209,63,247,42610
209,63,248,42988
209,63,249,43272
209,63,253,43440
209,64,243,42732
209,64,244,42844
209,64,245,43034
209,64,246,43292
210,58,246,43386
210,58,247,43086
210,58,248,43052
210,58,249,43252
210,59,245,42684
210,59,246,42128
210,59,247,41860
210,59,248,41860
210,59,249,42096
210,59,250,42568
210,59,251,43222
210,60,244,42492
210,60,245,41670
210,60,246,41140
210,60,247,40902
210,60,248,40934
210,60,249,41204
210,60,250,41712
210,60,251,42406
210,60,252,43250
210,61,243,43046
210,61,244,41916
210,61,245,41120
210,61,246,40616
210,61,247,40406
210,61,248,40468
210,61,249,40770
210,61,250,41312
210,61,251,42044
210,61,252,42928
210,62,243,42800
210,62,244,41704
210,62,245,40942
210,62,246,40468
210,62,247,40674
210,62,248,41016
210,62,249,41280
210,62,250,41526
210,62,251,42044
210,62,252,42966
210,63,243,42860
210,63,244,41808
210,63,245,41082
210,63,246,41168
210,63,247,41466
210,63,248,41846
210,63,249,42136
210,63,250,42410
210,63,251,42534
210,63,252,43332
210,64,243,43210
210,64,244,42222
210,64,245,41864
210,64,246,42108
210,64,247,42456
210,64,248,42892
210,64,249,43228
210,65,244,42906
210,65,245,42760
210,65,246,43064
210,65,247,43482
210,66,245,43356
211,59,246,43294
211,59,247,43040
211,59,248,43060
211,59,249,43316
211,60,245,42814
211,60,246,42308
211,60,247,42084
211,60,248,42136
211,60,249,42426
211,60,250,42952
211,61,244,43042
211,61,245,42266
211,61,246,41786
211,61,247,41590
211,61,248,41672
211,61,249,41994
211,61,250,42554
211,61,251,43298
211,62,244,42836
211,62,245,42094
211,62,246,41644
211,62,247,41476
211,62,248,41584
211,62,249,41934
211,62,250,42526
211,62,251,43304
211,63,244,42944
211,63,245,42238
211,63,246,41824
211,63,247,41688
211,63,248,41830
211,63,249,42208
211,63,250,42830
211,64,244,43362
211,64,245,42700
211,64,246,42326
211,64,247,42228
211,64,248,42408
211,64,249,42822
211,64,250,43474
211,65,245,43446
211,65,246,43122
211,65,247,43078
211,65,248,43300
212,61,246,43226
212,61,247,43050
212,61,248,43144
212,61,249,43482
212,62,246,43090
212,62,247,42942
212,62,248,43062
212,62,249,43428
212,63,246,43272
212,63,247,43156
212,63,248,43310
X,Y,Z,Cost
291,26,65,43044
291,27,65,43468
291,27,66,43088
292,25,65,42886
292,25,66,42920
292,26,65,43040
292,26,66,42474
292,26,67,42628
292,27,66,42998
292,27,67,42618
292,27,68,43048
292,28,67,43454
292,28,68,43460
293,25,65,42906
293,25,66,42290
293,25,67,42010
293,25,68,42812
293,26,65,43060
293,26,66,42508
293,26,67,42066
293,26,68,41908
293,26,69,43014
293,27,66,43024
293,27,67,42656
293,27,68,42604
293,27,69,42814
293,28,67,43478
294,25,65,43004
294,25,66,42402
294,25,67,41904
294,25,68,41660
294,25,69,42438
294,26,65,43158
294,26,66,42624
294,26,67,42204
294,26,68,42068
294,26,69,42210
294,26,70,42954
294,27,66,43130
294,27,67,42788
294,27,68,42760
294,27,69,43008
295,25,65,43170
295,25,66,42580
295,25,67,42102
295,25,68,41878
295,25,69,41942
295,25,70,42576
295,26,65,43324
295,26,66,42806
295,26,67,42410
295,26,68,42294
295,26,69,42466
295,26,70,42998
295,27,66,43312
295,27,67,42996
295,27,68,42988
295,27,69,43264
296,25,65,43492
296,25,66,42910
296,25,67,42450
296,25,68,42252
296,25,69,42344
296,25,70,42812
296,25,71,43492
296,26,66,43146
296,26,67,42772
296,26,68,42682
296,26,69,42880
296,26,70,43438
296,27,67,43364
296,27,68,43382
297,25,66,43326
297,25,67,42880
297,25,68,42702
297,25,69,42806
297,25,70,43288
297,26,67,43230
297,26,68,43162
297,26,69,43370
298,25,67,43356
298,25,68,43188
298,25,69,43300
347,156,147,43490
348,155,146,43162
348,155,147,43450
348,156,146,43360
348,156,147,42828
348,156,148,42654
348,157,148,43370
349,155,146,43076
349,155,147,42496
349,155,148,42846
349,156,146,43392
349,156,147,42838
349,156,148,42648
349,156,149,42734
349,157,148,43382
350,154,146,43190
350,154,147,42590
350,154,148,43322
350,155,146,43292
350,155,147,42692
350,155,148,42448
350,155,149,42680
350,156,147,43056
350,156,148,42842
350,156,149,42900
350,156,150,43184
351,153,147,43240
351,154,146,43388
351,154,147,42736
351,154,148,42440
351,154,149,43144
351,155,147,42886
351,155,148,42616
351,155,149,42600
351,155,150,42784
351,156,147,43268
351,156,148,43024
351,156,149,43050
351,156,150,43296
352,153,147,42992
352,153,148,42836
352,154,147,42914
352,154,148,42580
352,154,149,42484
352,154,150,43284
352,155,147,43096
352,155,148,42782
352,155,149,42730
352,155,150,42876
352,155,151,43140
352,156,148,43222
352,156,149,43206
352,156,150,43408
353,152,147,43342
353,153,147,43160
353,153,148,42766
353,153,149,42854
353,154,147,43108
353,154,148,42736
353,154,149,42602
353,154,150,42650
353,155,147,43318
353,155,148,42960
353,155,149,42864
353,155,150,42964
353,155,151,43134
353,156,148,43420
353,156,149,43356
354,152,148,43078
354,153,147,43352
354,153,148,42926
354,153,149,42720
354,153,150,43298
354,154,147,43320
354,154,148,42912
354,154,149,42734
354,154,150,42736
354,154,151,42992
354,155,148,43146
354,155,149,43002
354,155,150,43050
354,155,151,43160
354,155,152,43332
355,152,148,43246
355,152,149,43192
355,153,148,43102
355,153,149,42870
355,153,150,42780
355,154,148,43094
355,154,149,42884
355,154,150,42830
355,154,151,42808
355,155,148,43338
355,155,149,43156
355,155,150,43144
355,155,151,43188
355,155,152,43296
356,152,149,43294
356,153,148,43412
356,153,149,43158
356,153,150,43022
356,154,148,43406
356,154,149,43168
356,154,150,43062
356,154,151,42980
356,155,149,43442
356,155,150,43372
356,155,151,43350
356,155,152,43398
357,154,151,43414
362,30,246,43034
362,30,247,42810
362,31,245,43126
362,31,246,42580
362,31,247,42294
362,31,248,42580
362,32,245,42938
362,32,246,42398
362,32,247,42124
362,32,248,42202
362,32,249,42986
362,33,245,43112
362,33,246,42580
362,33,247,42316
362,33,248,42404
362,33,249,42838
362,34,246,43012
362,34,247,42754
362,34,248,42848
362,34,249,43288
362,35,247,43380
362,35,248,43472
363,29,245,43348
363,29,246,43266
363,30,244,43420
363,30,245,42672
363,30,246,42066
363,30,247,42156
363,30,248,43078
363,31,244,42940
363,31,245,42204
363,31,246,41620
363,31,247,41292
363,31,248,41844
363,31,249,42988
363,32,244,42748
363,32,245,42032
363,32,246,41456
363,32,247,41142
363,32,248,41172
363,32,249,42194
363,32,250,43374
363,33,244,42926
363,33,245,42224
363,33,246,41658
363,33,247,41356
363,33,248,41398
363,33,249,41790
363,33,250,43026
363,34,244,43394
363,34,245,42684
363,34,246,42124
363,34,247,41830
363,34,248,41878
363,34,249,42270
363,34,250,42864
363,35,245,43352
363,35,246,42786
363,35,247,42492
363,35,248,42538
363,35,249,42928
363,35,250,43486
363,36,247,43306
363,36,248,43346
364,29,245,42770
364,29,246,42952
364,30,244,42876
364,30,245,42108
364,30,246,41484
364,30,247,41792
364,30,248,42668
364,31,243,43276
364,31,244,42416
364,31,245,41660
364,31,246,41060
364,31,247,40718
364,31,248,41420
364,31,249,42524
364,32,243,43106
364,32,244,42246
364,32,245,41512
364,32,246,40922
364,32,247,40596
364,32,248,40596
364,32,249,41716
364,32,250,42862
364,33,243,43322
364,33,244,42456
364,33,245,41738
364,33,246,41160
364,33,247,40848
364,33,248,40862
364,33,249,41318
364,33,250,42520
364,34,244,42956
364,34,245,42232
364,34,246,41662
364,34,247,41360
364,34,248,41380
364,34,249,41740
364,34,250,42370
364,35,245,42932
364,35,246,42358
364,35,247,42056
364,35,248,42074
364,35,249,42432
364,35,250,42950
364,36,246,43212
364,36,247,42904
364,36,248,42916
364,36,249,43268
365,29,244,43324
365,29,245,42526
365,29,246,42908
365,29,247,43466
365,30,244,42658
365,30,245,41870
365,30,246,41232
365,30,247,41684
365,30,248,42522
365,30,249,43492
365,31,243,43090
365,31,244,42214
365,31,245,41438
365,31,246,40826
365,31,247,40466
365,31,248,41254
365,31,249,42312
365,31,250,43350
365,32,243,42940
365,32,244,42064
365,32,245,41312
365,32,246,40712
365,32,247,40370
365,32,248,40354
365,32,249,41488
365,32,250,42586
365,33,243,43186
365,33,244,42306
365,33,245,41572
365,33,246,40986
365,33,247,40660
365,33,248,40654
365,33,249,41084
365,33,250,42240
365,33,251,43360
365,34,244,42836
365,34,245,42098
365,34,246,41522
365,34,247,41206
365,34,248,41206
365,34,249,41534
365,34,250,42090
365,34,251,43260
365,35,245,42832
365,35,246,42254
365,35,247,41938
365,35,248,41936
365,35,249,42262
365,35,250,42740
365,35,251,43392
365,36,246,43146
365,36,247,42824
365,36,248,42816
365,36,249,43136
366,29,244,43388
366,29,245,42802
366,29,246,43164
366,30,244,42730
366,30,245,41922
366,30,246,41266
366,30,247,41874
366,30,248,42674
366,31,243,43184
366,31,244,42290
366,31,245,41494
366,31,246,40866
366,31,247,40490
366,31,248,41372
366,31,249,42386
366,31,250,43368
366,32,243,43040
366,32,244,42146
366,32,245,41374
366,32,246,40760
366,32,247,40404
366,32,248,40436
366,32,249,41528
366,32,250,42572
366,33,243,43308
366,33,244,42412
366,33,245,41660
366,33,246,41062
366,33,247,40722
366,33,248,40696
366,33,249,41108
366,33,250,42212
366,33,251,43284
366,34,244,42974
366,34,245,42220
366,34,246,41634
366,34,247,41304
366,34,248,41284
366,34,249,41584
366,34,250,42054
366,34,251,43176
366,35,245,42996
366,35,246,42408
366,35,247,42078
366,35,248,42056
366,35,249,42354
366,35,250,42792
366,35,251,43398
366,36,246,43340
366,36,247,43004
366,36,248,42976
366,36,249,43268
367,29,245,43320
367,30,244,43046
367,30,245,42216
367,30,246,41702
367,30,247,42306
367,30,248,43064
367,31,244,42606
367,31,245,41788
367,31,246,41138
367,31,247,40854
367,31,248,41722
367,31,249,42690
367,32,243,43376
367,32,244,42462
367,32,245,41668
367,32,246,41034
367,32,247,40662
367,32,248,40742
367,32,249,41790
367,32,250,42782
367,33,244,42742
367,33,245,41970
367,33,246,41354
367,33,247,40998
367,33,248,40948
367,33,249,41344
367,33,250,42398
367,33,251,43416
367,34,244,43336
367,34,245,42564
367,34,246,41962
367,34,247,41616
367,34,248,41572
367,34,249,41844
367,34,250,42246
367,34,251,43302
367,35,245,43384
367,35,246,42780
367,35,247,42434
367,35,248,42388
367,35,249,42658
367,35,250,43058
367,36,247,43402
367,36,248,43350
368,30,245,42798
368,30,246,42386
368,30,247,42966
368,31,244,43214
368,31,245,42368
368,31,246,41688
368,31,247,41470
368,31,248,42304
368,31,249,43228
368,32,244,43072
368,32,245,42250
368,32,246,41588
368,32,247,41194
368,32,248,41284
368,32,249,42290
368,32,250,43230
368,33,244,43360
368,33,245,42562
368,33,246,41920
368,33,247,41542
368,33,248,41466
368,33,249,41812
368,33,250,42816
368,34,245,43194
368,34,246,42568
368,34,247,42200
368,34,248,42130
368,34,249,42372
368,34,250,42736
368,35,246,43432
368,35,247,43064
368,35,248,42992
368,35,249,43232
369,30,246,43132
369,31,245,43168
369,31,246,42446
369,31,247,42152
369,31,248,42956
369,32,245,43052
369,32,246,42350
369,32,247,41922
369,32,248,41902
369,32,249,42870
369,33,245,43376
369,33,246,42696
369,33,247,42286
369,33,248,42184
369,33,249,42388
369,33,250,43330
369,34,246,43386
369,34,247,42988
369,34,248,42892
369,34,249,43102
369,34,250,43428
370,31,246,43416
370,31,247,42912
370,32,246,43328
370,32,247,42848
370,32,248,42686
370,33,247,43232
370,33,248,43086
370,33,249,43252
396,65,51,43362
397,65,51,43378
397,66,52,43446
398,65,52,43488
409,25,205,43052
409,25,206,43128
410,25,205,42868
410,25,206,42556
410,25,207,43070
410,26,205,43194
410,26,206,43134
411,25,205,42878
411,25,206,42154
411,25,207,42714
411,26,205,43238
411,26,206,42726
411,26,207,43308
411,27,205,43418
411,27,206,43370
412,25,205,43014
412,25,206,41986
412,25,207,42556
412,26,205,43398
412,26,206,42516
412,26,207,43138
412,27,206,43146
413,25,205,43220
413,25,206,42242
413,25,207,42564
413,26,206,42666
413,26,207,43126
413,27,206,43082
414,25,205,43476
414,25,206,42554
414,25,207,42732
414,26,206,42998
414,26,207,43276
414,27,206,43238
415,25,206,42836
415,25,207,43084
415,26,206,43304
416,25,206,42996
416,26,206,43464
417,25,206,43360
430,206,38,43152
430,207,38,42782
430,208,38,43312
431,204,38,43492
431,205,38,42966
431,206,38,42430
431,207,38,42272
431,208,38,42826
431,208,39,43440
431,209,39,43340
431,210,39,43360
432,204,38,43046
432,205,38,42526
432,206,38,42006
432,207,38,42120
432,207,39,43244
432,208,38,42698
432,208,39,43002
432,209,38,43492
432,209,39,42890
432,210,39,42896
432,211,39,43364
433,203,38,43494
433,204,38,42962
433,205,38,42464
433,206,38,42048
433,207,38,42346
433,207,39,43216
433,208,38,42944
433,208,39,42968
433,209,39,42844
433,210,39,42832
434,204,38,43394
434,205,38,42940
434,206,38,42664
434,207,38,42986
434,208,39,43490
434,209,39,43352
434,210,39,43322
X,Y,Z,Cost
48,476,255,43446
48,477,255,43354
48,478,255,43316
48,479,255,43394
56,276,186,43476
57,275,187,43220
57,276,186,43136
57,277,185,43368
58,275,187,43136
58,276,186,43048
58,276,187,43492
58,277,185,43252
59,275,187,43294
59,276,186,43202
59,276,187,43482
59,277,185,43348
113,302,184,42992
113,302,185,43100
113,303,184,43412
113,303,185,42932
113,303,186,43302
114,300,184,42880
114,300,185,43086
114,301,184,42914
114,301,185,42274
114,301,186,42756
114,302,184,43144
114,302,185,42566
114,302,186,42266
114,302,187,42906
114,303,185,43112
114,303,186,42874
114,303,187,42856
115,299,184,42578
115,299,185,42618
115,299,186,43156
115,300,184,42930
115,300,185,42220
115,300,186,42140
115,300,187,42970
115,301,184,43190
115,301,185,42530
115,301,186,42144
115,301,187,42098
115,301,188,43046
115,302,184,43490
115,302,185,42892
115,302,186,42560
115,302,187,42454
115,302,188,42372
115,302,189,43394
115,303,186,43232
115,303,187,43182
115,303,188,43126
115,303,189,43096
116,298,183,43496
116,298,184,42444
116,298,185,42472
116,298,186,42998
116,299,184,42878
116,299,185,42132
116,299,186,41842
116,299,187,42654
116,300,184,43314
116,300,185,42596
116,300,186,42140
116,300,187,41934
116,300,188,42562
116,301,185,42984
116,301,186,42572
116,301,187,42390
116,301,188,42258
116,301,189,42700
116,302,185,43412
116,302,186,43052
116,302,187,42916
116,302,188,42796
116,302,189,42662
116,302,190,43144
116,303,189,43484
116,303,190,43356
117,297,183,43204
117,297,184,42412
117,297,185,42538
117,297,186,43056
117,298,184,42744
117,298,185,41962
117,298,186,41798
117,298,187,42602
117,299,184,43282
117,299,185,42530
117,299,186,42038
117,299,187,41800
117,299,188,42368
117,299,189,43310
117,300,185,43084
117,300,186,42616
117,300,187,42392
117,300,188,42232
117,300,189,42330
117,300,190,43386
117,301,186,43124
117,301,187,42920
117,301,188,42766
117,301,189,42630
117,301,190,42580
117,302,188,43358
117,302,189,43218
117,302,190,43104
117,302,191,43192
118,296,183,42974
118,296,184,42702
118,296,185,42810
118,296,186,43316
118,297,183,43486
118,297,184,42400
118,297,185,41586
118,297,186,41946
118,297,187,42738
118,298,184,43120
118,298,185,42330
118,298,186,41798
118,298,187,41544
118,298,188,42378
118,298,189,43308
118,299,185,42984
118,299,186,42478
118,299,187,42232
118,299,188,42072
118,299,189,42190
118,299,190,43242
118,300,186,43136
118,300,187,42904
118,300,188,42742
118,300,189,42618
118,300,190,42570
118,301,188,43346
118,301,189,43214
118,301,190,43148
118,301,191,43226
119,295,184,43354
119,295,185,43446
119,296,183,43130
119,296,184,42016
119,296,185,41892
119,296,186,42360
119,296,187,43138
119,297,184,42728
119,297,185,41904
119,297,186,41340
119,297,187,41768
119,297,188,42634
119,298,185,42734
119,298,186,42190
119,298,187,41926
119,298,188,41762
119,298,189,42314
119,298,190,43362
119,299,185,43456
119,299,186,42938
119,299,187,42682
119,299,188,42518
119,299,189,42420
119,299,190,42432
119,299,191,43494
119,300,187,43424
119,300,188,43258
119,300,189,43150
119,300,190,43146
119,300,191,43294
120,295,183,42948
120,295,184,42630
120,295,185,42682
120,295,186,43136
120,296,183,43438
120,296,184,42298
120,296,185,41438
120,296,186,41570
120,296,187,42306
120,296,188,43168
120,297,184,43090
120,297,185,42248
120,297,186,41668
120,297,187,41384
120,297,188,41794
120,297,189,42714
120,298,185,43148
120,298,186,42588
120,298,187,42314
120,298,188,42154
120,298,189,42092
120,298,190,42538
120,299,186,43408
120,299,187,43140
120,299,188,42980
120,299,189,42902
120,299,190,42948
120,299,191,43166
121,295,183,43416
121,295,184,42244
121,295,185,42162
121,295,186,42574
121,295,187,43294
121,296,184,42832
121,296,185,41938
121,296,186,41316
121,296,187,41712
121,296,188,42552
121,296,189,43478
121,297,185,42818
121,297,186,42204
121,297,187,41894
121,297,188,41728
121,297,189,42104
121,297,190,43146
121,298,186,43178
121,298,187,42876
121,298,188,42704
121,298,189,42644
121,298,190,42718
121,298,191,43174
121,299,189,43500
122,295,184,42822
122,295,185,41912
122,295,186,42282
122,295,187,42972
122,296,184,43500
122,296,185,42576
122,296,186,41928
122,296,187,41612
122,296,188,42222
122,296,189,43136
122,297,186,42882
122,297,187,42562
122,297,188,42406
122,297,189,42376
122,297,190,42814
122,298,188,43420
122,298,189,43372
122,298,190,43466
123,295,185,42616
123,295,186,42340
123,295,187,43002
123,296,185,43382
123,296,186,42712
123,296,187,42394
123,296,188,42266
123,296,189,43156
123,297,187,43400
123,297,188,43256
123,297,189,43248
123,297,190,43394
124,295,186,42886
124,295,187,43390
124,296,187,43396
124,296,188,43276
139,268,247,43276
139,269,248,43422
139,269,249,43130
139,269,250,43436
139,270,251,43142
139,270,252,43070
139,270,253,43192
139,270,254,43280
139,270,255,43262
140,267,246,43334
140,268,247,42966
140,268,248,43346
140,269,248,42840
140,269,249,43062
140,269,250,43430
140,270,250,42906
140,270,251,43060
140,270,252,43234
140,270,253,43386
140,270,254,43486
140,270,255,43454
141,266,245,43406
141,267,246,43202
141,268,247,43008
141,268,248,43472
141,269,248,42896
141,269,249,43332
141,270,249,43316
141,270,250,43212
141,270,251,43462
141,271,253,43460
141,271,254,43468
142,266,245,43370
142,267,246,43324
142,268,247,43266
142,269,248,43282
142,270,249,43418
143,266,245,43436
194,280,243,43398
195,280,242,43162
195,280,243,42976
195,280,244,43106
195,281,241,43068
195,281,242,43178
196,280,241,43488
196,280,242,43048
196,280,243,42832
196,280,244,42740
196,280,245,43262
196,281,240,43448
196,281,241,42928
196,281,242,42470
196,281,243,42870
